,GEO,Gender,Indicators,UOM,VALUE
1758,Quebec,Men,Rarely or never feels lonely,Percent,58.5
1759,Quebec,Men,Rarely or never feels lonely,Percent,54.3
1760,Quebec,Men,Rarely or never feels lonely,Percent,62.5
1764,Quebec,Women,Always or often feels lonely,Percent,15.0
1765,Quebec,Women,Always or often feels lonely,Percent,12.5
1766,Quebec,Women,Always or often feels lonely,Percent,17.8
1770,Quebec,Women,Sometimes feels lonely,Percent,31.7
1771,Quebec,Women,Sometimes feels lonely,Percent,28.3
1772,Quebec,Women,Sometimes feels lonely,Percent,35.3
1776,Quebec,Women,Rarely or never feels lonely,Percent,53.3
1777,Quebec,Women,Rarely or never feels lonely,Percent,49.5
1778,Quebec,Women,Rarely or never feels lonely,Percent,57.0
1800,Ontario,Men,Always or often feels lonely,Percent,12.6
1801,Ontario,Men,Always or often feels lonely,Percent,10.2
1802,Ontario,Men,Always or often feels lonely,Percent,15.4
1806,Ontario,Men,Sometimes feels lonely,Percent,30.6
1807,Ontario,Men,Sometimes feels lonely,Percent,27.4
1808,Ontario,Men,Sometimes feels lonely,Percent,33.9
1812,Ontario,Men,Rarely or never feels lonely,Percent,56.8
1813,Ontario,Men,Rarely or never feels lonely,Percent,53.2
1814,Ontario,Men,Rarely or never feels lonely,Percent,60.3
1818,Ontario,Women,Always or often feels lonely,Percent,17.2
1819,Ontario,Women,Always or often feels lonely,Percent,14.7
1820,Ontario,Women,Always or often feels lonely,Percent,20.0
1824,Ontario,Women,Sometimes feels lonely,Percent,37.0
1825,Ontario,Women,Sometimes feels lonely,Percent,33.8
1826,Ontario,Women,Sometimes feels lonely,Percent,40.3
1830,Ontario,Women,Rarely or never feels lonely,Percent,45.8
1831,Ontario,Women,Rarely or never feels lonely,Percent,42.6
1832,Ontario,Women,Rarely or never feels lonely,Percent,48.9
1908,Manitoba,Men,Always or often feels lonely,Percent,14.3
1909,Manitoba,Men,Always or often feels lonely,Percent,8.7
1910,Manitoba,Men,Always or often feels lonely,Percent,21.6
1914,Manitoba,Men,Sometimes feels lonely,Percent,29.4
1915,Manitoba,Men,Sometimes feels lonely,Percent,21.8
1916,Manitoba,Men,Sometimes feels lonely,Percent,38.0
1920,Manitoba,Men,Rarely or never feels lonely,Percent,56.3
1921,Manitoba,Men,Rarely or never feels lonely,Percent,47.7
1922,Manitoba,Men,Rarely or never feels lonely,Percent,64.7
1926,Manitoba,Women,Always or often feels lonely,Percent,15.5
1927,Manitoba,Women,Always or often feels lonely,Percent,10.8
1928,Manitoba,Women,Always or often feels lonely,Percent,21.3
1932,Manitoba,Women,Sometimes feels lonely,Percent,36.3
1933,Manitoba,Women,Sometimes feels lonely,Percent,29.9
1934,Manitoba,Women,Sometimes feels lonely,Percent,43.2
1938,Manitoba,Women,Rarely or never feels lonely,Percent,48.1
1939,Manitoba,Women,Rarely or never feels lonely,Percent,41.2
1940,Manitoba,Women,Rarely or never feels lonely,Percent,55.1
1962,Saskatchewan,Men,Always or often feels lonely,Percent,10.7
1963,Saskatchewan,Men,Always or often feels lonely,Percent,6.3
1964,Saskatchewan,Men,Always or often feels lonely,Percent,16.5
1968,Saskatchewan,Men,Sometimes feels lonely,Percent,28.2
1969,Saskatchewan,Men,Sometimes feels lonely,Percent,21.9
1970,Saskatchewan,Men,Sometimes feels lonely,Percent,35.1
1974,Saskatchewan,Men,Rarely or never feels lonely,Percent,61.2
1975,Saskatchewan,Men,Rarely or never feels lonely,Percent,53.6
1976,Saskatchewan,Men,Rarely or never feels lonely,Percent,68.3
1980,Saskatchewan,Women,Always or often feels lonely,Percent,13.2
1981,Saskatchewan,Women,Always or often feels lonely,Percent,8.1
1982,Saskatchewan,Women,Always or often feels lonely,Percent,19.9
1986,Saskatchewan,Women,Sometimes feels lonely,Percent,35.9
1987,Saskatchewan,Women,Sometimes feels lonely,Percent,29.1
1988,Saskatchewan,Women,Sometimes feels lonely,Percent,43.2
1992,Saskatchewan,Women,Rarely or never feels lonely,Percent,50.8
1993,Saskatchewan,Women,Rarely or never feels lonely,Percent,43.7
1994,Saskatchewan,Women,Rarely or never feels lonely,Percent,58.0
2016,Alberta,Men,Always or often feels lonely,Percent,12.9
2017,Alberta,Men,Always or often feels lonely,Percent,9.1
2018,Alberta,Men,Always or often feels lonely,Percent,17.6
2022,Alberta,Men,Sometimes feels lonely,Percent,31.6
2023,Alberta,Men,Sometimes feels lonely,Percent,26.1
2024,Alberta,Men,Sometimes feels lonely,Percent,37.5
2028,Alberta,Men,Rarely or never feels lonely,Percent,55.5
2029,Alberta,Men,Rarely or never feels lonely,Percent,49.5
2030,Alberta,Men,Rarely or never feels lonely,Percent,61.4
2034,Alberta,Women,Always or often feels lonely,Percent,12.5
2035,Alberta,Women,Always or often feels lonely,Percent,8.9
2036,Alberta,Women,Always or often feels lonely,Percent,16.9
2040,Alberta,Women,Sometimes feels lonely,Percent,39.7
2041,Alberta,Women,Sometimes feels lonely,Percent,34.2
2042,Alberta,Women,Sometimes feels lonely,Percent,45.5
2046,Alberta,Women,Rarely or never feels lonely,Percent,47.8
2047,Alberta,Women,Rarely or never feels lonely,Percent,42.2
2048,Alberta,Women,Rarely or never feels lonely,Percent,53.4
2070,British Columbia,Men,Always or often feels lonely,Percent,13.4
2071,British Columbia,Men,Always or often feels lonely,Percent,9.4
2072,British Columbia,Men,Always or often feels lonely,Percent,18.4
2076,British Columbia,Men,Sometimes feels lonely,Percent,28.7
2077,British Columbia,Men,Sometimes feels lonely,Percent,23.5
2078,British Columbia,Men,Sometimes feels lonely,Percent,34.2
2082,British Columbia,Men,Rarely or never feels lonely,Percent,57.9
2083,British Columbia,Men,Rarely or never feels lonely,Percent,52.6
2084,British Columbia,Men,Rarely or never feels lonely,Percent,63.1
2088,British Columbia,Women,Always or often feels lonely,Percent,16.0
2089,British Columbia,Women,Always or often feels lonely,Percent,13.0
2090,British Columbia,Women,Always or often feels lonely,Percent,19.4
2094,British Columbia,Women,Sometimes feels lonely,Percent,39.4
2095,British Columbia,Women,Sometimes feels lonely,Percent,34.8
2096,British Columbia,Women,Sometimes feels lonely,Percent,44.3
2100,British Columbia,Women,Rarely or never feels lonely,Percent,44.5
2101,British Columbia,Women,Rarely or never feels lonely,Percent,39.8
2102,British Columbia,Women,Rarely or never feels lonely,Percent,49.3
